tramo,perfil,distancia_m,duracion_s,velocidad_max_observada_m_s,limite_velocidad_m_s,aceleracion_max_observada_m_s2,limite_aceleracion_m_s2,variacion_aceleracion_m_s2,cumple_limites
4B_rojo,cubico,0.33,2.5716155622487586,0.19248600267729965,0.2,0.2994008988014982,0.3,1.197603595205993,True
4B_rojo,quintico,0.33,3.0968437499999997,0.19980019980019983,0.2,0.19865567786737573,0.3,0.7946227114695021,True
4D_azul,cubico,0.33,9.959824245437265,0.04969967218314786,0.1,0.019960059920099887,0.02,0.07984023968039955,True
4D_azul,quintico,0.33,9.770026367786443,0.06333145650866731,0.1,0.0199594283291423,0.02,0.07983771331656914,True
