waypoint,tiempo_s,progreso,desplazamiento_m
0,0.0,0.0,0.0
1,1.9540052735572886,0.057920000000000006,0.0191136
2,3.908010547114577,0.31744000000000006,0.10475520000000002
3,5.862015820671865,0.6825599999999996,0.22524479999999988
4,7.816021094229154,0.9420800000000005,0.3108864000000002
5,9.770026367786443,1.0,0.33
