tiempo_s,tau,progreso,posicion_m,velocidad_m_s,aceleracion_m_s2
0.0,0.0,0.0,0.0,0.0,0.2994008988014982
0.012858077811243793,0.005,7.475e-05,2.46675e-05,0.003830471453278263,0.2964068898134833
0.025716155622487587,0.01,0.00029800000000000003,9.834000000000001e-05,0.007622445706021066,0.2934128808254683
0.03857423343373138,0.015,0.00066825,0.00022052250000000002,0.011375922758228409,0.2904188718374533
0.051432311244975173,0.02,0.0011840000000000002,0.00039072000000000005,0.015090902609900293,0.2874248628494383
0.06429038905621896,0.025,0.0018437500000000003,0.0006084375000000001,0.018767385261036718,0.28443085386142336
0.07714846686746275,0.03,0.0026460000000000003,0.0008731800000000002,0.02240537071163768,0.28143684487340836
0.09000654467870656,0.035,0.0035892500000000004,0.0011844525000000003,0.026004858961703188,0.27844283588539337
0.10286462248995035,0.04,0.004672000000000001,0.0015417600000000003,0.029565850011233227,0.2754488268973784
0.11572270030119414,0.045,0.0058927499999999996,0.0019446074999999998,0.03308834386022781,0.27245481790936343
0.12858077811243793,0.05,0.007250000000000001,0.0023925000000000005,0.036572340508686935,0.26946080892134844
0.14143885592368172,0.055,0.00874225,0.0028849425000000003,0.0400178399566106,0.26646679993333344
0.1542969337349255,0.06,0.010368,0.0034214400000000004,0.043424842203998795,0.2634727909453185
0.16715501154616932,0.065,0.012125750000000003,0.004001497500000001,0.04679334725085155,0.26047878195730345
0.18001308935741311,0.07,0.014014,0.00462462,0.05012335509716884,0.2574847729692885
0.1928711671686569,0.075,0.01603125,0.005290312500000001,0.05341486574295065,0.2544907639812735
0.2057292449799007,0.08,0.018176,0.00599808,0.05666787918819702,0.2514967549932585
0.2185873227911445,0.085,0.020446750000000003,0.006747427500000002,0.05988239543290792,0.24850274600524358
0.23144540060238827,0.09,0.022841999999999998,0.0075378599999999995,0.06305841447708338,0.24550873701722858
0.24430347841363206,0.095,0.02536025,0.0083688825,0.06619593632072335,0.24251472802921356
0.25716155622487585,0.1,0.028000000000000004,0.009240000000000002,0.06929496096382788,0.23952071904119862
0.27001963403611967,0.105,0.030759749999999995,0.0101507175,0.07235548840639694,0.23652671005318363
0.28287771184736343,0.11,0.033638,0.01110054,0.07537751864843055,0.23353270106516863
0.29573578965860725,0.115,0.03663325,0.0120889725,0.0783610516899287,0.2305386920771537
0.308593867469851,0.12,0.039744,0.01311552,0.08130608753089137,0.2275446830891387
0.32145194528109483,0.125,0.04296875,0.014179687500000001,0.08421262617131861,0.2245506741011237
0.33431002309233865,0.13,0.04630600000000001,0.015280980000000003,0.08708066761121036,0.22155666511310868
0.34716810090358247,0.135,0.04975425,0.016418902500000002,0.08991021185056668,0.21856265612509373
0.36002617871482623,0.14,0.053312000000000005,0.01759296,0.09270125888938752,0.21556864713707877
0.37288425652607,0.145,0.056977749999999994,0.0188026575,0.0954538087276729,0.21257463814906374
0.3857423343373138,0.15,0.060750000000000005,0.020047500000000003,0.0981678613654228,0.2095806291610488
0.39860041214855757,0.155,0.06462725,0.0213269925,0.1008434168026373,0.20658662017303384
0.4114584899598014,0.16,0.068608,0.022640640000000004,0.1034804750393163,0.2035926111850188
0.4243165677710452,0.165,0.07269075000000001,0.023987947500000006,0.10607903607545983,0.20059860219700382
0.437174645582289,0.17,0.07687400000000001,0.025368420000000006,0.10863909991106793,0.19760459320898885
0.45003272339353273,0.175,0.08115624999999999,0.026781562499999998,0.11116066654614053,0.19461058422097388
0.46289080120477655,0.18,0.085536,0.028226880000000003,0.11364373598067772,0.19161657523295889
0.47574887901602037,0.185,0.09001174999999999,0.029703877499999996,0.11608830821467941,0.18862256624494392
0.4886069568272641,0.19,0.094582,0.03121206,0.11849438324814568,0.18562855725692892
0.501465034638508,0.195,0.09924525000000001,0.0327509325,0.12086196108107644,0.18263454826891395
0.5143231124497517,0.2,0.10400000000000002,0.03432000000000001,0.12319104171347181,0.17964053928089893
0.5271811902609955,0.205,0.10884474999999999,0.0359187675,0.12548162514533165,0.176646530292884
0.5400392680722393,0.21,0.11377799999999998,0.037546739999999995,0.12773371137665607,0.173652521304869
0.552897345883483,0.215,0.11879825,0.0392034225,0.129947300407445,0.170658512316854
0.5657554236947269,0.22,0.123904,0.04088832,0.13212239223769848,0.16766450332883903
0.5786135015059707,0.225,0.12909375,0.042600937500000005,0.13425898686741652,0.16467049434082404
0.5914715793172145,0.23,0.134366,0.04434078,0.1363570842965991,0.16167648535280904
0.6043296571284582,0.235,0.13971925,0.0461073525,0.1384166845252462,0.1586824763647941
0.617187734939702,0.24,0.145152,0.047900160000000004,0.1404377875533578,0.1556884673767791
0.6300458127509458,0.245,0.15066274999999998,0.049718707499999994,0.142420393380934,0.1526944583887641
0.6429038905621897,0.25,0.15625,0.051562500000000004,0.14436450200797474,0.1497004494007491
0.6557619683734335,0.255,0.16191224999999998,0.0534310425,0.14627011343448001,0.14670644041273415
0.6686200461846773,0.26,0.16764800000000002,0.055323840000000006,0.1481372276604498,0.14371243142471915
0.6814781239959211,0.265,0.17345575000000002,0.05724039750000001,0.14996584468588417,0.14071842243670418
0.6943362018071649,0.27,0.179334,0.05918022,0.15175596451078308,0.1377244134486892
0.7071942796184086,0.275,0.18528125000000004,0.06114281250000001,0.15350758713514648,0.1347304044606742
0.7200523574296525,0.28,0.19129600000000002,0.06312768,0.15522071255897443,0.13173639547265922
0.7329104352408962,0.285,0.19737675,0.0651343275,0.15689534078226694,0.12874238648464426
0.74576851305214,0.29,0.20352199999999998,0.06716226,0.158531471805024,0.1257483774966293
0.7586265908633838,0.295,0.20973024999999995,0.06921098249999999,0.1601291056272456,0.12275436850861429
0.7714846686746276,0.3,0.21600000000000003,0.07128000000000001,0.1616882422489317,0.11976035952059932
0.7843427464858713,0.305,0.22232974999999996,0.07336881749999999,0.16320888167008238,0.11676635053258431
0.7972008242971151,0.31,0.228718,0.07547694,0.16469102389069756,0.11377234154456935
0.810058902108359,0.315,0.23516325000000002,0.0776038725,0.16613466891077736,0.11077833255655434
0.8229169799196028,0.32,0.24166400000000002,0.07974912,0.1675398167303216,0.10778432356853938
0.8357750577308466,0.325,0.24821875000000002,0.08191218750000001,0.16890646734933046,0.10479031458052437
0.8486331355420904,0.33,0.25482600000000005,0.08409258000000003,0.17023462076780382,0.1017963055925094
0.8614912133533342,0.335,0.26148425000000003,0.08628980250000001,0.17152427698574174,0.0988022966044944
0.874349291164578,0.34,0.26819200000000004,0.08850336000000002,0.17277543600314418,0.09580828761647944
0.8872073689758216,0.345,0.27494774999999994,0.09073275749999998,0.17398809782001115,0.09281427862846447
0.9000654467870655,0.35,0.28174999999999994,0.09297749999999999,0.17516226243634267,0.08982026964044952
0.9129235245983093,0.355,0.28859725,0.09523709250000001,0.17629792985213874,0.0868262606524345
0.9257816024095531,0.36,0.295488,0.09751104,0.17739510006739936,0.08383225166441949
0.9386396802207969,0.365,0.30242074999999996,0.0997988475,0.1784537730821245,0.08083824267640453
0.9514977580320407,0.37,0.30939399999999995,0.10210001999999999,0.17947394889631418,0.07784423368838957
0.9643558358432844,0.375,0.31640625,0.1044140625,0.18045562750996844,0.07485022470037456
0.9772139136545283,0.38,0.323456,0.10674048000000001,0.1813988089230872,0.07185621571235956
0.9900719914657721,0.385,0.33054174999999997,0.10907877749999999,0.18230349313567054,0.0688622067243446
1.002930069277016,0.39,0.337662,0.11142846000000001,0.18316968014771834,0.06586819773632963
1.0157881470882597,0.395,0.3448152500000001,0.11378903250000003,0.18399736995923074,0.06287418874831463
1.0286462248995034,0.4,0.3520000000000001,0.11616000000000004,0.1847865625702077,0.05988017976029962
1.0415043027107473,0.405,0.3592147500000001,0.11854086750000004,0.18553725798064916,0.05688617077228465
1.054362380521991,0.41,0.366458,0.12093114,0.18624945619055516,0.05389216178426969
1.0672204583332348,0.415,0.37372825,0.1233303225,0.18692315719992567,0.05089815279625473
1.0800785361444787,0.42,0.3810239999999999,0.12573791999999998,0.1875583610087608,0.04790414380823972
1.0929366139557224,0.425,0.3883437499999999,0.12815343749999997,0.1881550676170604,0.04491013482022476
1.105794691766966,0.43,0.395686,0.13057638,0.1887132770248246,0.041916125832209744
1.11865276957821,0.435,0.40304925,0.1330062525,0.18923298923205328,0.03892211684419478
1.1315108473894537,0.44,0.410432,0.13544256000000002,0.18971420423874658,0.03592810785617978
1.1443689252006977,0.445,0.41783275,0.1378848075,0.1901569220449043,0.03293409886816481
1.1572270030119414,0.45,0.42525,0.1403325,0.19056114265052668,0.02994008988014981
1.1700850808231853,0.455,0.43268225000000005,0.14278514250000002,0.19092686605561351,0.026946080892134846
1.182943158634429,0.46,0.440128,0.14524224000000002,0.19125409226016496,0.023952071904119836
1.195801236445673,0.465,0.4475857500000001,0.14770329750000005,0.19154282126418087,0.020958062916104872
1.2086593142569164,0.47,0.45505399999999996,0.15016781999999998,0.19179305306766137,0.01796405392808991
1.2215173920681603,0.475,0.46253125000000006,0.15263531250000004,0.19200478767060636,0.014970044940074949
1.234375469879404,0.48,0.4700160000000001,0.15510528000000004,0.19217802507301596,0.01197603595205994
1.247233547690648,0.485,0.47750675,0.1575772275,0.19231276527489014,0.008982026964044935
1.2600916255018917,0.49,0.48500199999999993,0.16005065999999998,0.19240900827622873,0.00598801797602997
1.2729497033131356,0.495,0.4925002499999999,0.16252508249999997,0.19246675407703193,0.0029940089880150073
1.2858077811243793,0.5,0.5,0.165,0.19248600267729965,0.0
1.298665858935623,0.505,0.5074997499999999,0.1674749175,0.19246675407703198,-0.0029940089880150073
1.311523936746867,0.51,0.514998,0.16994934,0.19240900827622873,-0.00598801797602997
1.3243820145581107,0.515,0.5224932499999999,0.1724227725,0.19231276527489008,-0.008982026964044935
1.3372400923693546,0.52,0.5299840000000001,0.17489472000000006,0.19217802507301596,-0.01197603595205994
1.3500981701805983,0.525,0.5374687499999999,0.17736468749999998,0.19200478767060644,-0.014970044940074949
1.3629562479918422,0.53,0.5449460000000002,0.17983218000000006,0.19179305306766137,-0.01796405392808991
1.375814325803086,0.535,0.55241425,0.18229670250000002,0.19154282126418087,-0.020958062916104872
1.3886724036143299,0.54,0.5598719999999999,0.18475776,0.19125409226016496,-0.02395207190411988
1.4015304814255736,0.545,0.56731775,0.1872148575,0.19092686605561357,-0.026946080892134888
1.4143885592368173,0.55,0.5747500000000001,0.18966750000000004,0.19056114265052665,-0.029940089880149852
1.4272466370480612,0.555,0.5821672500000001,0.19211519250000006,0.19015692204490428,-0.03293409886816481
1.440104714859305,0.56,0.589568,0.19455744,0.18971420423874658,-0.03592810785617982
1.4529627926705484,0.565,0.59695075,0.1969937475,0.18923298923205328,-0.03892211684419474
1.4658208704817923,0.57,0.604314,0.19942362000000002,0.1887132770248246,-0.041916125832209744
1.478678948293036,0.575,0.6116562499999999,0.20184656249999997,0.1881550676170604,-0.04491013482022471
1.49153702610428,0.58,0.618976,0.20426208,0.18755836100876078,-0.04790414380823967
1.5043951039155237,0.585,0.6262717499999999,0.20666967749999998,0.18692315719992572,-0.05089815279625469
1.5172531817267676,0.59,0.6335419999999998,0.20906885999999994,0.18624945619055522,-0.05389216178426969
1.5301112595380113,0.595,0.64078525,0.2114591325,0.18553725798064916,-0.05688617077228465
1.5429693373492552,0.6,0.6480000000000001,0.21384000000000006,0.1847865625702076,-0.05988017976029962
1.555827415160499,0.605,0.6551847499999999,0.21621096749999996,0.18399736995923074,-0.06287418874831463
1.5686854929717426,0.61,0.6623379999999999,0.21857153999999998,0.18316968014771842,-0.06586819773632963
1.5815435707829866,0.615,0.6694582499999999,0.2209212225,0.18230349313567054,-0.0688622067243446
1.5944016485942303,0.62,0.676544,0.22325952000000002,0.18139880892308718,-0.07185621571235956
1.6072597264054742,0.625,0.68359375,0.2255859375,0.18045562750996844,-0.07485022470037456
