waypoint,tiempo_s,progreso,desplazamiento_m
0,0.0,0.0,0.0
1,0.5143231124497517,0.10400000000000002,0.03432000000000001
2,1.0286462248995034,0.3520000000000001,0.11616000000000004
3,1.5429693373492552,0.6480000000000001,0.21384000000000006
4,2.057292449799007,0.8960000000000001,0.29568000000000005
5,2.5716155622487586,1.0,0.33
