waypoint,tiempo_s,progreso,desplazamiento_m
0,0.0,0.0,0.0
1,0.61936875,0.057920000000000006,0.0191136
2,1.2387375,0.31744000000000006,0.10475520000000002
3,1.8581062499999996,0.6825599999999996,0.22524479999999988
4,2.477475,0.9420800000000005,0.3108864000000002
5,3.0968437499999997,1.0,0.33
